feature_name,feature_family,grain,window,source_table,status,audit_class,implemented_in,match_quality,matched_feature_name,serving_asset,notes
rule_category_max_edge_full,规则表先验,category,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_category_max_edge_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_category_max_edge_lower_bound_full,规则表先验,category,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_category_max_edge_lower_bound_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_category_max_rule_score,规则表先验,category,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_category_max_rule_score,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_category_mean_edge_full,规则表先验,category,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_category_mean_edge_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_category_mean_edge_lower_bound_full,规则表先验,category,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_category_mean_edge_lower_bound_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_category_mean_rule_score,规则表先验,category,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_category_mean_rule_score,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_category_sum_n_full,规则表先验,category,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_category_sum_n_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_domain_matched_rule_count,规则表先验,domain,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_domain_matched_rule_count,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_domain_max_edge_full,规则表先验,domain,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_domain_max_edge_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_domain_max_edge_lower_bound_full,规则表先验,domain,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_domain_max_edge_lower_bound_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_domain_max_rule_score,规则表先验,domain,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_domain_max_rule_score,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_domain_mean_edge_full,规则表先验,domain,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_domain_mean_edge_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_domain_mean_edge_lower_bound_full,规则表先验,domain,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_domain_mean_edge_lower_bound_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_domain_mean_rule_score,规则表先验,domain,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_domain_mean_rule_score,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_domain_sum_n_full,规则表先验,domain,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_domain_sum_n_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_full_group_key_matched_rule_count,规则表先验,full_group_key,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_full_group_key_matched_rule_count,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_full_group_key_max_edge_full,规则表先验,full_group_key,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_full_group_key_max_edge_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_full_group_key_max_edge_lower_bound_full,规则表先验,full_group_key,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_full_group_key_max_edge_lower_bound_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_full_group_key_max_rule_score,规则表先验,full_group_key,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_full_group_key_max_rule_score,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_full_group_key_mean_edge_full,规则表先验,full_group_key,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_full_group_key_mean_edge_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_full_group_key_mean_edge_lower_bound_full,规则表先验,full_group_key,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_full_group_key_mean_edge_lower_bound_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_full_group_key_mean_rule_score,规则表先验,full_group_key,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_full_group_key_mean_rule_score,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_full_group_key_sum_n_full,规则表先验,full_group_key,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_full_group_key_sum_n_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_market_type_matched_rule_count,规则表先验,market_type,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_market_type_matched_rule_count,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_market_type_max_edge_full,规则表先验,market_type,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_market_type_max_edge_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_market_type_max_edge_lower_bound_full,规则表先验,market_type,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_market_type_max_edge_lower_bound_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_market_type_max_rule_score,规则表先验,market_type,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_market_type_max_rule_score,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_market_type_mean_edge_full,规则表先验,market_type,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_market_type_mean_edge_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_market_type_mean_edge_lower_bound_full,规则表先验,market_type,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_market_type_mean_edge_lower_bound_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_market_type_mean_rule_score,规则表先验,market_type,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_market_type_mean_rule_score,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
rule_market_type_sum_n_full,规则表先验,market_type,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_market_type_sum_n_full,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
hist_price_x_full_group_expanding_bias,history_price_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,hist_price_x_full_group_expanding_bias,fine_serving_features.parquet,
hist_price_x_full_group_expanding_logloss,history_price_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,hist_price_x_full_group_expanding_logloss,fine_serving_features.parquet,
hist_price_x_full_group_recent_200_bias,history_price_interaction,group_key_price_bin_horizon,recent_200,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,hist_price_x_full_group_recent_200_bias,fine_serving_features.parquet,
hist_price_x_full_group_recent_50_bias,history_price_interaction,group_key_price_bin_horizon,recent_50,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,hist_price_x_full_group_recent_50_bias,fine_serving_features.parquet,
price_x_full_group_expanding_abs_bias_tail_spread,history_price_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,price_x_full_group_expanding_abs_bias_tail_spread,fine_serving_features.parquet,
group_key,keys,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,group_key,fine_serving_features.parquet,
horizon_hours,keys,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,horizon_hours,fine_serving_features.parquet,
price_bin,keys,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,price_bin,fine_serving_features.parquet,
tail_risk_x_price,other,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,tail_risk_x_price,fine_serving_features.parquet,
rule_edge_minus_category_expanding_bias,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_edge_minus_category_expanding_bias,fine_serving_features.parquet,
rule_edge_minus_category_x_market_type_expanding_bias,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_edge_minus_category_x_market_type_expanding_bias,fine_serving_features.parquet,
rule_edge_minus_domain_expanding_bias,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_edge_minus_domain_expanding_bias,fine_serving_features.parquet,
rule_edge_minus_domain_x_category_expanding_bias,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_edge_minus_domain_x_category_expanding_bias,fine_serving_features.parquet,
rule_edge_minus_domain_x_market_type_expanding_bias,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_edge_minus_domain_x_market_type_expanding_bias,fine_serving_features.parquet,
rule_edge_minus_full_group_expanding_bias,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_edge_minus_full_group_expanding_bias,fine_serving_features.parquet,
rule_edge_minus_market_type_expanding_bias,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_edge_minus_market_type_expanding_bias,fine_serving_features.parquet,
rule_edge_minus_recent_50_bias,rule_gap_interaction,group_key_price_bin_horizon,recent_50,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_edge_minus_recent_50_bias,fine_serving_features.parquet,
rule_score_minus_category_expanding_logloss,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_score_minus_category_expanding_logloss,fine_serving_features.parquet,
rule_score_minus_category_x_market_type_expanding_logloss,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_score_minus_category_x_market_type_expanding_logloss,fine_serving_features.parquet,
rule_score_minus_domain_expanding_logloss,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_score_minus_domain_expanding_logloss,fine_serving_features.parquet,
rule_score_minus_domain_x_category_expanding_logloss,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_score_minus_domain_x_category_expanding_logloss,fine_serving_features.parquet,
rule_score_minus_domain_x_market_type_expanding_logloss,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_score_minus_domain_x_market_type_expanding_logloss,fine_serving_features.parquet,
rule_score_minus_full_group_expanding_logloss,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_score_minus_full_group_expanding_logloss,fine_serving_features.parquet,
rule_score_minus_market_type_expanding_logloss,rule_gap_interaction,group_key_price_bin_horizon,expanding,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_score_minus_market_type_expanding_logloss,fine_serving_features.parquet,
rule_score_minus_recent_50_logloss,rule_gap_interaction,group_key_price_bin_horizon,recent_50,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_score_minus_recent_50_logloss,fine_serving_features.parquet,
direction,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,direction,fine_serving_features.parquet,
edge_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,edge_full,fine_serving_features.parquet,
edge_lower_bound_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,edge_lower_bound_full,fine_serving_features.parquet,
edge_std_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,edge_std_full,fine_serving_features.parquet,
leaf_id,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,leaf_id,fine_serving_features.parquet,
n_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,n_full,fine_serving_features.parquet,
p_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,p_full,fine_serving_features.parquet,
q_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,q_full,fine_serving_features.parquet,
rule_category_matched_rule_count,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_category_matched_rule_count,fine_serving_features.parquet,
rule_category_max_edge_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_category_max_edge_full,fine_serving_features.parquet,
rule_category_max_edge_lower_bound_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_category_max_edge_lower_bound_full,fine_serving_features.parquet,
rule_category_max_rule_score,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_category_max_rule_score,fine_serving_features.parquet,
rule_category_mean_edge_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_category_mean_edge_full,fine_serving_features.parquet,
rule_category_mean_edge_lower_bound_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_category_mean_edge_lower_bound_full,fine_serving_features.parquet,
rule_category_mean_rule_score,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_category_mean_rule_score,fine_serving_features.parquet,
rule_category_sum_n_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_category_sum_n_full,fine_serving_features.parquet,
rule_confidence_ratio,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_confidence_ratio,fine_serving_features.parquet,
rule_domain_matched_rule_count,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_domain_matched_rule_count,fine_serving_features.parquet,
rule_domain_max_edge_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_domain_max_edge_full,fine_serving_features.parquet,
rule_domain_max_edge_lower_bound_full,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_domain_max_edge_lower_bound_full,fine_serving_features.parquet,
rule_domain_max_rule_score,rule_prior,group_key_price_bin_horizon,static,fine_serving_features.parquet,implemented_exact,C_already_implemented,serving_assets,direct_asset_column,rule_domain_max_rule_score,fine_serving_features.parquet,
